Cluster ID,confidence_score,Id,Site Name,Description,Address,City,State,ZIP,Phone Number,URL,Ages Served,Ages 0-3,Ages 3-5,Weekday Availability,Duration/Hours,Program Information,Languages other than English,Other Features,Accreditation,Quality,Quality Rating,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
64,1.0,386,Archdiocese of Chicago - Queen of the Universe,"<p>Queen of the Universe preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",7130 S Hamlin Ave,Chicago,IL,60629,(773) 582-4266,http://www.qofu.org,3 years to 4 years,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,ISBE Recognized; AdvancEd candidate,licensed,Licensed,41.763375,-87.717487,"{'latitude': '41.763375', 'longitude': '-87.717487'}",23,21867,63,317,15
67,1.0,398,Archdiocese of Chicago - St. Agnes of Bohemia,"<p>In striving to educate the whole child, the curriculum at St. Agnes of Bohemia is reflective of the dedication to a solid education that the faculty, staff and students strive for daily. For over 100 years, St. Agnes has dedicated itself to educating immigrant families for lives of faith, service and leadership. We encourage spiritual, intellectual, physical, emotional and social growth in the Catholic Tradition. We maintain high expectations for all members of our community to develop a sense of personal responsibility and self-motivation. This is accomplished within a Gospel-centered framework of justice and love. We do this so our students can be successful Christians and achieve excellence in high school, college and in life.</p>",2643 S Central Park Ave,Chicago,IL,60623,(773) 522-0143,http://www.school.stagnesofbohemia.org,3 years to 8 grade,FALSE,TRUE,"Full Week, Full Day",,Community Based,,,Archdiocese of Chicago,licensed,Licensed,41.843289,-87.714723,"{'latitude': '41.843289', 'longitude': '-87.714723'}",14,21569,32,312,28
68,1.0,399,Archdiocese of Chicago - St. Angela,<p>St. Angela School offers a strong academic program in a nurturing environment.  Our teachers view our students as individuals and seek to meet the needs of each of our learners.  We offer special classes such as music and dance.  Our preschoolers have access to various forms of technology which enhances our curriculum.</p>,1332 N Massasoit Ave,Chicago,IL,60651,(773) 626-2655,http://www.saintangela.org,3 years to 8 grade,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,NAEYC,licensed,Licensed,41.904855,-87.769407,"{'latitude': '41.904855', 'longitude': '-87.769407'}",52,4299,26,565,7
65,1.0,392,Archdiocese of Chicago - St. Ann,"<p>Saint Ann School is a Catholic, co-educational school that provides an excellent education to PK-8th grade students.  We are dedicated to helping our children achieve their full academic, physical, social, and spiritual potential.</p>",2211 W 18th Pl,Chicago,IL,60608,(312) 829-4153,http://www.stanncrusaders.org,3 years to 8 grade,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,None,licensed,Licensed,41.856632,-87.681514,"{'latitude': '41.856632', 'longitude': '-87.681514'}",8,14920,33,4,26
25,1.0,201,Archdiocese of Chicago - St. Benedict the African,"<p>The mission of the Academy of St. Benedict the African is to nurture the body, mind and spirit of each child entrusted to our care. We believe that children learn when they feel safe, encouraged, and respected by their teachers and peers. We believe that children learn through independent play experiences, as well as their interactions with peers and adults. We believe that children learn when they are active participants in the learning process. Our goal is to forge a partnership with our families so together; we foster the social, intellectual, emotional and physical development of our young people.</p>",6020 S Laflin St,Chicago,IL,60636,(773) 776-3316,http://www.academystbenedict.org/,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,NAEYC,licensed,Licensed,41.784229,-87.661921,"{'latitude': '41.784229', 'longitude': '-87.661921'}",44,22257,65,277,2
69,1.0,400,Archdiocese of Chicago - St. Bruno,"<p>We believe, at St. Bruno Preschool, that each child is a unique individual with his/her own pattern of growth and development. To foster this growth the child needs a planned environment, which is child-centered. The child needs a place where the teacher meets them on his/her level, literally and developmentally, and which provides new opportunities to explore the world around them. We recognize that children are active learners and we strive to match activities with individual interest and abilities. Classes are engaging. Your child will learn their academics, build social skills, develop healthy habits in personal hygiene and diet, participate in free and structured play, and explore creative avenues in art, crafts, music, and drama.</p>",4839 S Harding Ave,Chicago,IL,60632,(773) 847-0697,http://www.stbruno.com,3 years to 8 grade,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,Advanced Ed Candidate,licensed,Licensed,41.80492,-87.722136,"{'latitude': '41.80492', 'longitude': '-87.722136'}",49,22248,54,698,8
71,1.0,405,Archdiocese of Chicago - St. Ethelreda,"<p>St. Ethelreda preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",8734 S Paulina St,Chicago,IL,60620,(773) 238-1757,http://www.stethelreda.org,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,ISBE Recognized; AdvancEd candidate,licensed,Licensed,41.734722,-87.665486,"{'latitude': '41.734722', 'longitude': '-87.665486'}",18,21554,70,488,13
72,1.0,406,Archdiocese of Chicago - St. Gall,"<p>St. Gall School collaborates with our parish, families, and community, to inspire and strengthen students to achieve their full potential in their academic, spiritual and moral lives. Through our faith-centered environment and rigorous curriculum, we strive to nurture life-long learners and global leaders rooted in the mission of Jesus Christ.</p><p>St. Gall School pledges to:
•Respect the dignity of all
•Embrace our Catholic faith
•Promote academic excellence
•Communicate effectively
•Engage the whole child</p>",5515 S Sawyer Ave,Chicago,IL,60629,(773) 737-3454,http://www.stgallschool.com,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,AdvancED,licensed,Licensed,41.793403,-87.703692,"{'latitude': '41.793403', 'longitude': '-87.703692'}",49,22248,61,801,8
73,1.0,407,Archdiocese of Chicago - St. John de la Salle,"<p>The St. John de la Salle (PFA) Preschool for All Program is a full day program providing high quality preschool services for the benefit of children who may need extra preparation for kindergarten. It provides developmentally appropriate experiences and an educational program that includes a language and literacy component for each child  based on the child's individual assessment; thus, promoting the readiness necessary for a successful transition into the kindergarten through eighth grade program.  As an added convenience to parents the school offers 
extended day (before and after care} services.</p>",10212 S Vernon Ave,Chicago,IL,60619,(773) 785-2331,http://www.saintjohndelasalle.org,03-May,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,ISBE Recognition,licensed,Licensed,41.708692,-87.612597,"{'latitude': '41.708692', 'longitude': '-87.612597'}",30,21861,45,570,43
66,1.0,397,Archdiocese of Chicago - St. Margaret of Scotland,"<p>St. Margaret of Scotland offers a full day preschool program for students ages from 3-5 years old.  Included in our preschool program is before and after school program.  We provide developmentally, socially, and emotionally appropriate programs and activities for the students.  Pre-school is an important part of our greater school community, and students are prepared for kindergarten.</p>",9833 Throop Street,Chicago,IL,60643,(773) 238-1088,http://www.stmargaretofscotland.com,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,Advanced Ed Candidate,licensed,Licensed,41.714956,-87.655187,"{'latitude': '41.714956', 'longitude': '-87.655187'}",18,22212,72,592,13
74,1.0,410,Archdiocese of Chicago - St. Mary of the Lake,"<p>St. Mary of the Lake preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",1026 W Buena Ave,Chicago,IL,60613,(773) 281-0018,http://www.stmary-stthomas.org,3 years to 8 grade,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,ISBE Recognition; AdvancEd candidate,licensed,Licensed,41.958434,-87.655612,"{'latitude': '41.958434', 'longitude': '-87.655612'}",37,21186,31,577,39
76,1.0,412,Archdiocese of Chicago - St. Mary Star of the Sea,"<p>St. Mary Star of the Sea Pre-School is located in the West Lawn neighborhood of Chicago--just southeast of Midway Airport and the Orange Line.  It is part of the Catholic Elementary School that includes Pre-School through Grade 8.  The Pre-School is a student-centered program with  hands-on and multi-sensory lessons that contain cross-curricular, thematic units.  Occupation play centers along with support services from the computer, physical education, music classes and library enhance this Early Childhood Program.</p>",6424 S Kenneth Ave,Chicago,IL,60629,(773) 767-6160,http://www.stmarystaroftheseaschool.org,3 years to 8 grade,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,AdvancED,licensed,Licensed,41.775819,-87.733683,"{'latitude': '41.775819', 'longitude': '-87.733683'}",23,21867,63,6,15
77,1.0,413,Archdiocese of Chicago - St. Nicholas of Tolentine,"<p>St. NIcholas preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",3741 W 62nd St,Chicago,IL,60629,(773) 735-0772,http://www.stnicksschool.com,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,AdvancEd,licensed,Licensed,41.780563,-87.716674,"{'latitude': '41.780563', 'longitude': '-87.716674'}",23,21867,63,339,6
78,1.0,414,Archdiocese of Chicago - St. Philip Neri,"<p>Our Pre-k students develop critical thinking, problem-solving & decision-making skills through our Montessori-like environment. Our reading program provides fundamental & complex reading skills. Students experience hands on activities which support their ability to identify, classify, & organize objects through our math program. We partner with PNC Grow Up Great Science Program & Chicagoland museums.  This partnership has supported our Pre-k program to cultivate our students' interest in the Science field. Our mission is to ensure our learning environment supports students' academic and social-emotional development, allows them to develop confidence in their abilities, and provides the foundation of becoming lifelong learners.</p>",2110 E 72nd St,Chicago,IL,60649,(773) 288-1138,http://www.spnschoolchicago.org,3 years to 8 grade,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,Advanced Ed Candidate,licensed,Licensed,41.764501,-87.573222,"{'latitude': '41.764501', 'longitude': '-87.573222'}",32,22538,39,453,33
79,1.0,415,Archdiocese of Chicago - St. Richard,"<p>St. Richard preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",5025 S Kenneth Ave,Chicago,IL,60632,(773) 582-8083,http://www.strichard.net,3 years to 4 years,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,ISBE Recognized; AdvancEd candidate,licensed,Licensed,41.80166,-87.734246,"{'latitude': '41.80166', 'longitude': '-87.734246'}",35,22248,54,697,8
80,1.0,417,Archdiocese of Chicago - St. Sabina,"<p>Our mission scripture is:"" Train up a child in the way that he should go and when he is old, he will not depart from it."" PROVERBS 22:6
We believe that each child was created for a special purpose and we strive to offer a full academic curriculum as well as a variety of extra-curricular programs to help each child discover their special gifts and talents. We integrate African American History and Heritage as well as character development into our curriculum to create future leaders and cultural pride. Our motto is, ""Parents and Teachers Together, Preparing Our Children to Achieve Their Purpose and Destiny"" One of our special offerings for our preschool is the Early Science Learning Program and partnership with the Big Shoulders Fund, PNC Bank and Chicago's Museums.</p>",7801 S Throop Ave,Chicago,IL,60620,(773) 483-5000,http://www.edline.ne/pages/St_Sabina_Academy,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day",,Community Based,,,ISBE,licensed,Licensed,41.752277,-87.655383,"{'latitude': '41.752277', 'longitude': '-87.655383'}",17,21554,70,575,31
81,1.0,418,Archdiocese of Chicago - St. Sylvester,"<p>St. Sylvester is a dynamic school located in the Logan Square/Humboldt Park neighborhood.  Children in our early childhood department develop holistically in a loving environment. They build greater letter recognition and early reading skills, higher number awareness and competency, improved social skills, and enhanced motor skills.  Our teachers and aides help each child attain the skill sets needed for his/her future academic success. Every year, our children transition smoothly into our rigorous upper grade levels.</p>",3027 W Palmer Sq,Chicago,IL,60647,(773) 772-5222,http://www.stsylvester.org,3 years to 8 grade,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,AdvancED,licensed,Licensed,41.920682,-87.703242,"{'latitude': '41.920682', 'longitude': '-87.703242'}",15,22535,23,371,40
83,1.0,991,Archdiocese of Chicago - Visitation,,900 W Garfield Blvd,Chicago,IL,60609,(773) 373-5200,http://www.visitationschoolchicago.net,3 years to  grade,,TRUE,None,,Community Based,,,None,licensed,Licensed,41.79376106,-87.64682335,"{'latitude': '41.793761064834', 'longitude': '-87.646823354682'}",53,21559,66,113,4
5,1.0,547,Ariel Elementary Community Academy,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",1119 E 46th St,Chicago,IL,60653,(773) 535-1996,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609951,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,gold,Gold,41.811325,-87.59814,"{'latitude': '41.811325', 'longitude': '-87.59814'}",1,4301,5,395,10
47,1.0,772,Arnold Mireles Elementary Academy,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",9000 S Exchange Ave,Chicago,IL,60617,(773) 535-6360,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610171,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,licensed,Licensed,41.731652,-87.552672,"{'latitude': '41.731652', 'longitude': '-87.552672'}",47,21202,42,175,47
19,1.0,639,Arthur Dixon Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",8306 S Saint Lawrence Ave,Chicago,IL,60619,(773) 535-3834,http://www.dixon.cps.k12.il.us,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,silver,Silver,41.743127,-87.611012,"{'latitude': '41.743127', 'longitude': '-87.611012'}",31,21546,40,140,32
16,1.0,594,Arthur E Canty Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",3740 N Panama Ave,Chicago,IL,60634,(773) 534-1238,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609836,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,licensed,Licensed,41.94793878,-87.8297248,"{'latitude': '41.947938775652', 'longitude': '-87.8297248042'}",39,22254,17,445,19
92,1.0,1023,Arthur R. Ashe Elementary School,,8505 S Ingleside Ave,Chicago,IL,60619,(773) 535-3550,http://schoolinfo.cps.edu/schoolprofile/schooldetails.aspx?SchoolId=610268,None,,TRUE,Full Day,,CPS Based,,,None,none,Coming Soon,41.73999414,-87.60085029,"{'latitude': '41.739994137153', 'longitude': '-87.600850292172'}",9,21546,40,141,35
53,1.0,826,Asa Philip Randolph Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",7316 S Hoyne Ave,Chicago,IL,60636,(773) 535-9015,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609941,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day, Half Day",,"CPS Based, Head Start",,,None,gold,Gold,41.760764,-87.675879,"{'latitude': '41.760764', 'longitude': '-87.675879'}",17,22257,65,433,31
6,1.0,550,Ashburn Community Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",8300 S Saint Louis Ave,Chicago,IL,60652,(773) 535-7860,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610287,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,gold,Gold,41.742236,-87.709755,"{'latitude': '41.742236', 'longitude': '-87.709755'}",6,4300,69,199,30
36,1.0,222,Asian Human Services - LEAF program,"<p>The LEAF Program at Asian Human Services offers a full-day, center-based program for children 2-5, and a home visiting program for families with children 0-3.  We have very qualified teachers providing care in a lovely center in Chicago's West Ridge neighborhood.  Our early childhood program serves many low-income immigrant families.</p>",2838 W Peterson Ave,Chicago,IL,60659,(773) 564-4944,http://www.ahschicago.org,2 years to 5 years,TRUE,TRUE,"Full Week, Full Day",,"Offers Home Visiting, Community Based",,Accepts CCAP,None,licensed,Licensed,41.990699,-87.700837,"{'latitude': '41.990699', 'longitude': '-87.700837'}",42,4450,20,30,27
62,1.0,383,Asian Human Services - Passages Charter School,"<p>Passages Charter School serves low-income and minority children of refugee families from around the world. All children have an innate ability to learn when they are provided with the supports and resources needed to succeed. Having thirty five different languages spoken at Passages brings uniqueness to our school community and culture. Our PK program collaborates with families and caregivers on a daily basis as they are an integral component of their children's life long learning. We drive to develop our young children socio-emotionally, physically, and cognitively in order to have them become positive citizens of character in society.</p><p><strong>This program serves 4 year olds</strong></p>",1643 W Bryn Mawr Ave,Chicago,IL,60660,(773) 433-3530,http://www.passagescharterschool.com,4 years to 4 years,FALSE,TRUE,"Full Week, Full Day",,Community Based,,Accepts CCAP,CPS Charter School,licensed,Licensed,41.983431,-87.670992,"{'latitude': '41.983431', 'longitude': '-87.670992'}",46,22616,76,564,24
37,1.0,223,Austin Polytechnical Academy,"<p>SGA Youth & Family Services' Early Advantage Program helps youth with children ages birth to three become their child's first and most important teacher. Teen parents gain valuable parenting skills and develop knowledge about child development, literacy promoting behaviors, and discipline techniques.  The program is voluntary and led by experienced and qualified staff. Services include: parent-child visits, developmental screenings, groups and special activities and linkages/referral to other community resources. SGA offers Early Advantage at 11 Chicago Public high schools: Juarez, Dunbar, Gage Park, Harlan, Lake View, Crane, Kelly, Tilden, Phillips, Wells, and Austin Polytechnical.</p>",231 N. Pine Ave,Chicago,IL,60644,(773) 534-6301,http://www.austinpolytech.org,14-18,TRUE,FALSE,"Full Week, Part Week, Full Day",,"Offers Home Visiting, Community Based",,,COA,licensed,Licensed,41.885064,-87.763325,"{'latitude': '41.885064', 'longitude': '-87.763325'}",11,22216,26,674,45
7,1.0,552,Avalon Park Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",8045 S Kenwood Ave,Chicago,IL,60619,(773) 535-6615,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609786,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day",,CPS Based,,,None,gold,Gold,41.748537,-87.591425,"{'latitude': '41.748537', 'longitude': '-87.591425'}",9,21546,41,133,35
58,1.0,879,Barbara Vick Early Childhood & Family Center,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",2554 W 113th St,Chicago,IL,60655,(773) 535-9010,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609871 ,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,gold,Gold,41.688117,-87.685632,"{'latitude': '41.688117', 'longitude': '-87.685632'}",33,22212,74,379,42
59,1.0,880,Barbara Vick Village,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",6601 S Kedzie Ave,Chicago,IL,60655,(773) 535-9010,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609871 ,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,licensed,Licensed,41.773491,-87.702988,"{'latitude': '41.773491', 'longitude': '-87.702988'}",44,21867,64,382,31
91,1.0,1007,BBF Family Service,,1512 S Pulaski Ave,Chicago,IL,60623,,,None,,TRUE,None,,Community Based,,,None,licensed,Licensed,41.86048485,-87.7252726,"{'latitude': '41.860484851759', 'longitude': '-87.725272603938'}",36,21569,30,761,14
38,1.0,224,Beacon Therapeutic,"<p>Beacon's Early Head Start Home/Shelter-Based program supports pregnant women, children ages 0-3 and their families through home visits and group socialization experiences. Home visitors provide comprehensive services to support and strengthen the relationships between infants, toddlers, and their parents. Beacon's Early Head start program specifically targets the homeless or recently housed population.</p>",1912 S 103rd St,Chicago,IL,60643,(773) 298-1243,http://www.becon-therapeutic.org,None,TRUE,FALSE,None,,"Offers Home Visiting, Community Based, Early Head Start",,,None,licensed,Licensed,41.677377,-87.653802,"{'latitude': '41.677377', 'longitude': '-87.653802'}",45,22212,50,662,22
82,1.0,951,Beginners Depot,,2141 S 79th St,Chicago,IL,60620,(773) 783-9270,,None,TRUE,TRUE,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,None,licensed,Licensed,41.749908,-87.677266,"{'latitude': '41.749908', 'longitude': '-87.677266'}",6,21554,70,574,30
9,1.0,565,Belmont-Cragin Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",6041 W Diversey Ave,Chicago,IL,60639,(773) 534-3318,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609922,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,licensed,Licensed,41.93091469,-87.77749724,"{'latitude': '41.930914692698', 'longitude': '-87.777497235503'}",52,22615,19,78,21
41,1.0,225,Benito Juarez Community Academy,"<p>SGA Youth & Family Services' Early Advantage Program helps youth with children ages birth to three become their child's first and most important teacher. Teen parents gain valuable parenting skills and develop knowledge about child development, literacy promoting behaviors, and discipline techniques.  The program is voluntary and led by experienced and qualified staff. Services include: parent-child visits, developmental screenings, groups and special activities and linkages/referral to other community resources. SGA offers Early Advantage at 11 Chicago Public high schools: Juarez, Dunbar, Gage Park, Harlan, Lake View, Crane, Kelly, Tilden, Phillips, Wells, and Austin Polytechnical.</p>",1450 W Cermak Rd,Chicago,IL,60608,(773) 534-7030,http://www.benitojuarez.net,14-18,TRUE,FALSE,"Full Week, Full Day",,"Offers Home Visiting, Community Based",,,COA,licensed,Licensed,41.852405,-87.662942,"{'latitude': '41.852405', 'longitude': '-87.662942'}",8,14920,33,365,26
46,1.0,761,Benjamin E Mays Elementary Academy,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",6656 S Normal Blvd,Chicago,IL,60621,(773) 535-3892,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610290,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day",,CPS Based,,,None,gold,Gold,41.773192,-87.6368395,"{'latitude': '41.773192', 'longitude': '-87.6368395'}",31,21559,66,435,32
48,1.0,776,Bernhard Moos Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",1711 N California Ave,Chicago,IL,60647,(773) 534-4340,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610076,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day",,"CPS Based, Head Start",,,None,silver,Silver,41.912147,-87.697008,"{'latitude': '41.912147', 'longitude': '-87.697008'}",24,22535,25,299,41
42,1.0,227,Betty's Daycare,"<p>Provide quality care, education and development for each child to reach their greatest potential-mentally, physically, socially and emotionally.</p>",5725 W Chicago Ave,Chicago,IL,60651,(773) 261-1433,http://www.chicagocommons.org,6 weeks to 12 years,TRUE,TRUE,"Full Week, Part Week, Full Day",,"Community Based, Head Start, Early Head Start",,Accepts CCAP,None,licensed,Licensed,41.894736,-87.76898,"{'latitude': '41.894736', 'longitude': '-87.76898'}",52,4299,26,672,7
10,1.0,568,Blair Early Childhood Center,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",6751 W 63rd Pl,Chicago,IL,60638,(773) 535-2076,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610087,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,gold,Gold,41.776484,-87.789696,"{'latitude': '41.776484', 'longitude': '-87.789696'}",35,22268,62,336,6
22,1.0,697,Bret Harte Elementary School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",1556 E 56th St,Chicago,IL,60637,(773) 535-0870,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609969,3 years to 5 years,FALSE,TRUE,"Full Week, Half Day",,CPS Based,,,None,gold,Gold,41.793709,-87.586698,"{'latitude': '41.793709', 'longitude': '-87.586698'}",32,22260,8,502,33
51,1.0,814,Brian Piccolo Elementary Specialty School,"<p>Chicago Public Schools early childhood school based preschool programs work to ensure children ages 3 and 4 years old, particularly those most in need, have access to high-quality programs. Schools are committed to creating an engaging, developmentally appropriate learning environment that supports and respects the unique potential of each individual child through best professional practices, parent engagement, and community involvement.</p>",1040 N Keeler Ave,Chicago,IL,60651,(773) 534-4425,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610106,3 years to 5 years,FALSE,TRUE,"Full Week, Full Day, Half Day",,"CPS Based, Head Start",,,None,silver,Silver,41.900298,-87.732352,"{'latitude': '41.900298', 'longitude': '-87.732352'}",4,4299,24,99,45
