,Cluster ID,confidence_score,Id,Site Name,Description,Address,City,State,ZIP,Phone Number,URL,Ages Served,Ages 0-3,Ages 3-5,Weekday Availability,Duration/Hours,Program Information,Languages other than English,Other Features,Accreditation,Quality,Quality Rating,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
372,92,1.0,344,Loop Learning Center,"<p>The mission of the Loop Learning Center is to meet the developmental needs of all children from birth to 5 years old in a safe, nurturing, high-quality engaging learning environment.  We carry out our mission by providing a comprehensive program accredited by the National Association for the Education of Young Children which includes a rigorous curriculum, on-going assessments, Illinois State Board Certified Teachers, social workers, infant/toddler specialist, small class sizes, embedded professional development training, parent and community Involvement and collaborations and partnerships with various agencies, such as the Ounce of Prevention Fund, Chicago Public Schools, Easter Seals and Head Start.</p>","2001 S Michigan Ave, #450",Chicago,IL,60616,(312) 225-8828,http://www.looplearningcenter.com,6 weeks to 12 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,NAEYC,gold,Gold,41.8551319,-87.623167,"{'latitude': '41.8551319', 'longitude': '-87.623167'}",48.0,21194,34.0,374.0,9.0
374,93,1.0,345,Los Pequenos Angelitos,"<p>To provide children with a wealth of experiences that they enjoy and to provide a variety of learning experiences that will develop the children intellectual, social, emotional, physical growth and reinforce ethnic pride.</p>",3711 W 55th St,Chicago,IL,60629,(773) 735-5827,http://www.chicagocommons.org,6 weeks to 12 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Head Start, Early Head Start",,Accepts CCAP,Awards of Excellence,licensed,Licensed,41.79223,-87.716471,"{'latitude': '41.79223', 'longitude': '-87.716471'}",49.0,21867,60.0,774.0,6.0
392,94,1.0,350,Marillac St. Vincent Family Services - Marillac Social Center,"<p>Marillac House is committed to stregthening and empowering those most in need to reach their greatest potential. We fulfill our mission through quality programs for children, teens, families and seniors. Besides our quality early childhood program we offer our families; basic services including emergency food pantry, regular family field trips and activities, lending library, parent support groups, social services, home visiting, Doula services, special needs services, medical and dental and referrals for needed services.</p>",212 S Francisco Ave,Chicago,IL,60612,(773) 722-7440,http://www.marillacstvincent.org,15 months to 13 years,True,True,"Full Week, Full Day",,"Offers Home Visiting, Community Based",,Accepts CCAP,NAEYC,gold,Gold,41.878195,-87.698668,"{'latitude': '41.878195', 'longitude': '-87.698668'}",11.0,21184,28.0,51.0,46.0
399,95,1.0,351,Mary Crane Center - Lake and Pulaski,"<p>The Mary Crane Center promotes the comprehensive early development of children through school-readiness programs, personal enrichment activities, and family support services.</p>",316 N Pulaski Rd,Chicago,IL,60624,(773) 265-5954,http://www.marycrane.org,15 months to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start, Early Head Start",,Accepts CCAP,NAEYC,licensed,Licensed,41.885975,-87.725821,"{'latitude': '41.885975', 'longitude': '-87.725821'}",11.0,21572,27.0,659.0,23.0
402,96,1.0,354,Mary Crane Center - North,"<p>The Mary Crane Center promotes the comprehensive early development of children through school-readiness programs, personal enrichment activities, and family support services.</p>",2905 N Leavitt Ave,Chicago,IL,60618,(773) 938-8130,http://www.marycrane.org,6 weeks to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start, Early Head Start",,Accepts CCAP,NAEYC,licensed,Licensed,41.934331,-87.682886,"{'latitude': '41.934331', 'longitude': '-87.682886'}",24.0,21538,46.0,616.0,41.0
410,97,1.0,356,McCann's DayCare Center,"<p>McCann's Day Care Center has been caring, nurturing and supporting familes in our community since1975. 
Our goal has been to stimulate developmental growth of young children by offering age appropriate experences in a safe and nurturing environment. 
Our goals are to encourage independence, high self-esteem, respect for self, others while  increasing the child's awareness of the world around us.
Our goal is to make the pre-school experience a positive first impression of formal education. 
FAMILY is a number one priorty at McCann's Day Care Center and we provide support, resources and encouragement to our families.</p>",8612 S Stony Island Ave,Chicago,IL,60617,(773) 375-7932,http://Under Construction,2 years to 6 grade,True,True,"Full Week, Full Day",,Community Based,,Accepts CCAP,,silver,Silver,41.73827,-87.58602,"{'latitude': '41.73827', 'longitude': '-87.58602'}",9.0,21202,41.0,133.0,35.0
416,98,1.0,357,Metropolitan Family Services - Midway Children's Center,"<p>Metropolitan Family Services empowers families to learn, to earn, to heal, to thrive. Part mentor, part motivator, part advocate, Metropolitan provides a wide variety of programs and services designed to strengthen families and help them realize their full potential.  Programs range in variety from early childhood education services to counseling and family violence intervention programs.</p>",3215 W 63rd St,Chicago,IL,60629,773.884.2350,http://www.metrofamily.org,2 years to 5 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,NAEYC,gold,Gold,41.776483,-87.703209,"{'latitude': '41.776483', 'longitude': '-87.703209'}",44.0,21867,64.0,293.0,31.0
417,99,1.0,358,Metropolitan Family Services - Midway Headstart Center,"<p>Metropolitan Family Services empowers families to learn, to earn, to heal, to thrive. Part mentor, part motivator, part advocate, Metropolitan provides a wide variety of programs and services designed to strengthen families and help them realize their full potential.  Programs range in variety from early childhood education services to counseling and family violence intervention programs.</p>",6422 S Kedzie Ave,Chicago,IL,60629,(773) 884-2400,http://www.metrofamily.org,3 years to 5 years,False,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,"COA, NAEYC",gold,Gold,41.776444,-87.703208,"{'latitude': '41.776444', 'longitude': '-87.703208'}",44.0,21867,64.0,293.0,31.0
418,100,1.0,359,Metropolitan Family Services - North Children's Center,"<p>Metropolitan Family Services empowers families to learn, to earn, to heal, to thrive. Part mentor, part motivator, part advocate, Metropolitan provides a wide variety of programs and services designed to strengthen families and help them realize their full potential.  Programs range in variety from early childhood education services to counseling and family violence intervention programs.</p>",3255 N Central Ave,Chicago,IL,60634,(773) 371-3782,http://www.metrofamily.org,2 years to 5 years,True,True,"Full Week, Full Day",,"Offers Home Visiting, Community Based, Head Start",,Accepts CCAP,NAEYC,gold,Gold,41.939819,-87.766523,"{'latitude': '41.939819', 'longitude': '-87.766523'}",25.0,22618,15.0,361.0,21.0
427,101,1.0,360,Mosaic Early Childhood Academy,"<p>Mosaic Early Childhood Academy has been established for children between the ages of 6 weeks to 12 years of age. Our center would like to provide a warm, loving, growing, and stimulating atmosphere for children. Our primary goals are to make your child's first experience with school an enjoyable one, and to act on behalf of the needs and interests of your child by providing many developmental and educational resources. Our program gives children an opportunity to participate in a wide variety of experiences that will help meet their developmental needs. We are concerned with total development. Activities are arranged in small groups. There are periods during the day for individual and group activities, and free play. Teachers work individually with the children throughout the day to help nurture specific needs. We make learning fun!!! Activities are arranged to meet these needs.</p><p>Social-Emotional: How the child gets along with other children and adults. How they express themselves. Learning inner control, and acceptable ways of expressing feelings. 
Physical: Body coordination, and the use of large and small muscles. 
Intellectual: The ability to think and reason, as well as problem solving 
Health: Developing good health habits. 
Language:  Developing language skills that will enable them to communicate their thoughts and feelings 
Cultural: Developing pride in themselves, their family, and learning about backgrounds and heritage.</p>",5332 W Addison St,Chicago,IL,60641,(773) 777-7411,http://www.mosaicearlychildhoodcenter.com,15 months to 12 years,True,True,"Full Week, Part Week, Full Day, Half Day",,Community Based,,Accepts CCAP,NAEYC,licensed,Licensed,41.945963,-87.76065,"{'latitude': '41.945963', 'longitude': '-87.76065'}",25.0,22618,15.0,231.0,21.0
428,102,1.0,361,Mother's Touch Day Care,"<p>Easter Seals Metropolitan Chicago is proud to offer comprehensive Head Start/Early Head Start services in partnership with Mother's Touch.  Through this partnership, Mother's Touch offers high quality early childhood education in a safe, licensed child care facility dedicated to supporting families and helping children reach their full potential.  Our program adheres to strict guidelines on performance, quality, and service delivery.</p>",2501 W 71st St,Chicago,IL,60628,(773) 436-3177,http://www.motherstouchdaycarecenter.com,6 weeks to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.764587,-87.685905,"{'latitude': '41.764587', 'longitude': '-87.685905'}",6.0,21867,64.0,333.0,30.0
508,103,1.0,363,Salvation Army - New Hope Head Start,"<p>New Hope Head Start is located in the heart of the Humboldt Park Community.  This program provides half-day Head Start services to children, ages 3-5 years and their families. In addition to the noteworthy educational services children receive; family support services are provided in the area of health and nutrition, mental wellness, and job readiness training.  This program is the proud employer of the teacher who received the 2013 Illinois State Teacher of the Year award.</p>",4255 W Division St,Chicago,IL,60651,(773) 772-4908,http://www.salvationarmy.org,3 years to 5 years,False,True,"Part Week, Half Day",,"Community Based, Head Start",,,,licensed,Licensed,41.902272,-87.733332,"{'latitude': '41.902272', 'longitude': '-87.733332'}",4.0,4299,24.0,99.0,45.0
437,104,1.0,364,New Pisgah Day Care,"<p>New Pisgah Day Care has been  committed to ensuring quality instruction in a nurturing and safe environment since 1977.</p><p>We provide quality instruction using Creative Curriculum, which provides a hands-on approach that implements discovery through play.</p><p>We equip our students with the necessary developmental skills to become life long learners.  </p><p>New Pisgah Day Care has earned a Level 1 Quality Star Rating. </p><p>During 2013 we were awarded by DFSS  and the mayor's Chicago Ready to Learn Program as a Head Start Delegate Agency.  </p><p>Currently, we have an infant class (6 weeks to 23 months), a Toddler's class (2 Years) and two (3-5 years old) Head Start/State Pre-K Classrooms.</p>",8130 S Racine Ave,Chicago,IL,60620,(773) 873-5392,http://www.newpisgahcso.org,6 weeks to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,Awards of Excellence,licensed,Licensed,41.746042,-87.653683,"{'latitude': '41.746042', 'longitude': '-87.653683'}",18.0,21554,70.0,575.0,13.0
442,105,1.0,365,North Austin Head Start,"<p>Our program is bi-lingual in providing a culturally, linguistically comprehensive learning environment that promotes social competency and school readiness for preschool children who are academically and economically at risk. This design fosters development in; social, physical, cognitive, literacy, technology, language, math, science, critical thinking and problem solving skills. Teachers are equipped with strategies to support children through relationship building. 
The Program is designed to empower, strengthen and support families through services and resources that will support their personal goals.  The program has been in the community for over 40 years providing services to a generation of families and children.</p>",1500 N Mason Ave,Chicago,IL,60651,(773) 237-1930,http://lssi.org,03-May,False,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,NAEYC,licensed,Licensed,41.90785,-87.77468,"{'latitude': '41.90785', 'longitude': '-87.77468'}",52.0,4299,26.0,565.0,7.0
443,106,1.0,366,North Avenue Day Nursery,"<p>North Avenue Day Nursery is committed to providing high quality childcare and educational programs primarily to the children of working families who are eligible for Federal and State subsidized care.  The nursery's programs are designed for children from infancy through the age of 10 years and aim to support the physical, social, emotional and cognitive development of every child within the context of family and cultural community.  Grounded in current theories of child development and education, the nursery and childcare homes provide safe, trusting and caring environments in which children develop the fundamental ABC's of autonomy, belonging, and competency necessary for a successful life.</p>",2001 W Pierce Ave,Chicago,IL,60622,(773) 342-4499,http://www.nadnkids.org,2 years to 12 years,True,True,"Full Week, Part Week, Full Day",,"Community Based, Head Start, Early Head Start",,Accepts CCAP,NAEYC,gold,Gold,41.909346,-87.677415,"{'latitude': '41.909346', 'longitude': '-87.677415'}",24.0,21560,25.0,481.0,41.0
447,107,1.0,367,Northwestern University Settlement House,"<p>Our mission is to nurture, educate, and inspire children and families in need, empowering them to take personal responsibility and attain self-sufficiency. We provide  West Town and Humboldt Park communities with wrap around social services, education, and arts programs. Our highest priority is  school readiness for children and families. We have highly qualified bilingual teachers  that prioritize academic and social-emotional development. We operate Rowe Elementary School and incorporate a seamless transition to kindergarten bound children.  Families are engaged in innovative initiatives that include outdoor classroom  in our camp in Wisconsin and artistic practice in our theater.</p>",1400 W Augusta Blvd,Chicago,IL,60642,773.278.7471,http://www.nothwesternsettlement.org,2 years to 5 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,"Awards of Excellence, NAEYC",gold,Gold,41.899788,-87.66249,"{'latitude': '41.899788', 'longitude': '-87.66249'}",41.0,22620,25.0,109.0,46.0
455,108,1.0,370,Onward Neighborhood House - Belmont Cragin,"<p>Onward Neighborhood House provides children with a learning environment that will assist them in advancing socially, intellectually, physically, and emotionally in a manner appropriate to their age and developmenal stage. Many parent engagement opportunities are available throughout the program year, with the ultimate goal of empowing parents to advocate for themselves and their families. The center serves children ages 2-12 in center based and homebased. Bilingual and bicultural staff work with children and families.</p>",5423 W Diversey St,Chicago,IL,60639,(773) 622-3215,http://www.onwardhouse.org,2 years to 12 years,True,True,"Full Week, Full Day",,"Offers Home Visiting, Community Based, Head Start, Early Head Start",,Accepts CCAP,"Awards of Excellence, NAEYC",gold,Gold,41.931258,-87.762332,"{'latitude': '41.931258', 'longitude': '-87.762332'}",27.0,22615,19.0,79.0,21.0
5,109,1.0,375,Catholic Charities - Our Lady of Lourdes Child Development Center,"<p>Our Lady of Lourdes provides support for low income families by providing high quality early childhood education.  We provide services to children ages 6 weeks to 5 years old, including Infant Toddler care, Head Start Collaboration for working parents, and Pre-K for those who qualify.  Our center is open year-round, including school holidays and throughout the summer.</p>",1449 S Keeler Ave,Chicago,IL,60623,773.521.3126,http://www.catholiccharities.net/services/childhood_development,6 weeks to 5 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.860922,-87.72988,"{'latitude': '41.860922', 'longitude': '-87.72988'}",36.0,21569,30.0,761.0,14.0
6,110,1.0,378,Catholic Charities - Our Lady of Tepeyac Child Development Center,"<p>Our Lady of Tepeyac provides support for low income families by offering high quality early childhood education and School Age child care.  We deliver services to children ages 3-5 years old, including 1/2 day Head Start, full day Head Start Collaboration for working parents, and Pre-K for those who qualify.  For children ages 5-12, we offer a School Age program.  Our center is open year-round, including school holidays and throughout the summer for those in our full day program.  We are NAEYC accredited.  Se habla espanol.</p>",2414 S Albany Ave,Chicago,IL,60623,(773) 277-5888,http://www.catholiccharities.net,3 years to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,"NAEYC, COA",gold,Gold,41.847775,-87.702689,"{'latitude': '41.847775', 'longitude': '-87.702689'}",29.0,21569,32.0,261.0,1.0
467,111,1.0,384,Pathways To Learning Child Care Centers - Ashburn,<p>Our mission is to invest in children in the under served communities in the Chicago region to help them discover and realized their full potential. Our goal is to provide an exceptional program to children from infancy to 6 years old. The fundamental premise for reaching the young mind is consistent support and increase self esteem through communication and developmental play. Our nurturing staff incorporates many activities into our program in which we will maximize motor/cognitive/verbal/ social and emotional development of each child.</p>,3450 W 79th St,Chicago,IL,60652,(773) 436-9244,http://www.pathwaystolearning.com,15 months to 5 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,NAEYC,licensed,Licensed,41.749779,-87.709178,"{'latitude': '41.749779', 'longitude': '-87.709178'}",6.0,4300,69.0,498.0,30.0
483,112,1.0,387,Rainbow Daycare,<p>To nurture children and provide quality childcare.</p>,3250 W Irving Park Rd,Chicago,IL,60618,(773) 478-8182,http://www.chicagocommons.org,6 weeks to 6 years,True,True,"Full Week, Part Week, Full Day",,"Community Based, Head Start, Early Head Start",,Accepts CCAP,,silver,Silver,41.954056,-87.710084,"{'latitude': '41.954056', 'longitude': '-87.710084'}",2.0,21538,16.0,23.0,20.0
491,113,1.0,390,Richard T Crane Tech Prep High School,"<p>SGA Youth & Family Services' Early Advantage Program helps youth with children ages birth to three become their child's first and most important teacher. Teen parents gain valuable parenting skills and develop knowledge about child development, literacy promoting behaviors, and discipline techniques.  The program is voluntary and led by experienced and qualified staff. Services include: parent-child visits, developmental screenings, groups and special activities and linkages/referral to other community resources. SGA offers Early Advantage at 11 Chicago Public high schools: Juarez, Dunbar, Gage Park, Harlan, Lake View, Crane, Kelly, Tilden, Phillips, Wells, and Austin Polytechnical.</p>",2245 W. Jackson Blvd.,Chicago,IL,60612,(773) 534-7192,http://www.newcranemedicalprep.org,0 - 3,True,False,"Full Week, Full Day",,"Offers Home Visiting, Community Based",,,COA,licensed,Licensed,41.877344,-87.682111,"{'latitude': '41.877344', 'longitude': '-87.682111'}",48.0,21184,29.0,89.0,46.0
381,114,1.0,391,Lutheran Social Services - Rogers Park,"<p>Our program is bi-lingual in providing a culturally, linguistically comprehensive learning environment that promotes social competency and school readiness for preschool children who are academically and economically at risk. This design fosters development in; social, physical, cognitive, literacy, technology, language, math, science, critical thinking and problem solving skills. Teachers are equipped with strategies to support children through relationship building. 
The Program is designed to empower, strengthen and support families through services and resources that will support their personal goals.  The program has been in the community for over 40 years providing services to a generation of families and children.</p>",1754 W Devon Ave,Chicago,IL,60660,(773) 262-3366,http://lssi.org,3 years to 5 years,False,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,NAEYC,gold,Gold,41.998213,-87.674788,"{'latitude': '41.998213', 'longitude': '-87.674788'}",46.0,4451,10.0,242.0,24.0
7,115,1.0,408,Catholic Charities - St. Joseph Child Development Center,"<p>St. Joseph provides support for low income families by delivering high quality early childhood education and School Age child care.  We offer services to children ages 3-5 years old, including 1/2 day Head Start, full day Head Start Collaboration for working parents, and Pre-K for those who qualify.  For children ages 5-12, we offer a School Age program.  Our center is open year-round, including school holidays and throughout the summer for those in our full day program.  We are NAEYC accredited.  Se habla espanol.</p>",4800 S Paulina Ave,Chicago,IL,60609,(773) 927-2524,http://www.catholiccharities.net,3 years to 12 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,"Awards of Excellence, COA, NAEYC",gold,Gold,41.806725,-87.667372,"{'latitude': '41.806725', 'longitude': '-87.667372'}",53.0,14924,59.0,740.0,3.0
529,116,1.0,419,St. Turibius,"<p>St. Turibius preschool provides a full day program and quality educational experience for 3-5 year old children as part of a faith-based elementary school setting.  The curriculum is content rich and based on state learning standards and developmentally appropriate practices.   Assessment is used to meet the individual needs of each child.  The daily schedule allows for children to participate in small and large group activities, one-on-one with the teaching staff, or self-initiated activity.  Time for quiet and active play is also included.  Children transition seamlessly into the school's kindergarten program. Before or after school care and free/reduced price meals are available.</p>",4120 W 57th St,Chicago,IL,60629,(773) 585-5150,http://www.stturibiusschool.com,03-May,False,True,"Full Week, Full Day",,Community Based,,Accepts CCAP,ISBE Recognized; AdvancEd candidate,licensed,Licensed,41.789555,-87.726379,"{'latitude': '41.789555', 'longitude': '-87.726379'}",23.0,21867,60.0,773.0,15.0
393,117,1.0,420,Marillac St. Vincent Family Services - St. Vincent DePaul Center,"<p>St. Vincent de Paul Center's mission is to strengthen and empower those most in need to reach their greatest potential.  St. Vincent's offers a NAEYC-accredited early childhood program and after-school/summer camp programs for children ages 3 months through 13 years. Supportive services include family support services, parent groups, art therapy, and speech therapy.  St. Vincent's also partners with Tutoring Chicago to offer on-site tutoring services for eligible school age children.</p>",2145 North Halsted St,Chicago,IL,60614,(312) 943-6776,http://www.marillacstvincent.org,3 months to 13 years,True,True,"Full Week, Full Day, Half Day",,Community Based,,Accepts CCAP,NAEYC,gold,Gold,41.9213937,-87.6480454,"{'latitude': '41.9213937', 'longitude': '-87.6480454'}",51.0,21190,68.0,798.0,34.0
524,118,1.0,421,State of Illinois Child Development Center,<p>Our center is located in the heart of downtown Chicago. We are conveniently located by all public transportation.  Most of our parents have government positions.  We have 5 classrooms ranging from 2 through Kindergarten and we offer a summer cultural camp for children ages 6-12 years.  We have a beautiful new playground on the rooftop and we have another large-motor room on the second floor developed by Kohl Museum.  All of our teachers have their Bachelors degree in Early Childhood Education.  We have 20 children enrolled in each of our preschool rooms with 3 full-time teachers; a great ratio.</p>,"160 N LaSalle St, #201",Chicago,IL,60601,(312) 814-4782,http://www.earlychildcareservices.com,2 years to 6 years,True,True,"Full Week, Full Day",,Community Based,,Accepts CCAP,NAEYC,gold,Gold,41.885076,-87.632562,"{'latitude': '41.885076', 'longitude': '-87.632562'}",22.0,14309,38.0,92.0,36.0
528,119,1.0,422,Stepping Stones Early Childhood Center,"<p>VISION Statement
Building minds, changing lives in our community.</p><p>MISSION Statement
Our mission is to provide lots of love to children whose parents have to work or attend school to meet the demands of our society.  We prepare their children to enter kindergarten on a level playing field. By doing this, we are also preparing our students to eventually beome global citizens, our ultimate goal.</p><p>Strong family involvement is an integral part of our program. 
Our curriculum uses ""play"" to develop skills needed to be successful in life.  Everyone @ Stepping Stones become life long learners. Stepping Stones is looking for you!  If you're a parent that wants the very best education for your child.... look no further!</p>",1300 E 75th St,Chicago,IL,60619,773.493.0000,http://www.sseclc-chicago.com,15 months to 5 years,True,True,"Full Week, Full Day",,"Offers Home Visiting, Community Based, Head Start",,Accepts CCAP,NAEYC,gold,Gold,41.75894,-87.59304,"{'latitude': '41.75894', 'longitude': '-87.59304'}",32.0,21546,39.0,451.0,35.0
538,120,1.0,426,Temple Head Start,"<p>Temple Head Start and Early Head Start is located in the West Loop community.  The program provides educational, health and nutritional services to children ages 2 to 5 years and their familes.  This program is housed in the Salvation Army Temple Corp; which offers an array of educational and social services to youth and adults.  Families who are enrolled in our Head Start programs are eligible to attend summer family camp, as well as participate in the food and clothing ministries, music lessons, field trips and counseling at no cost.  </p><p>The Early Head Start program is an extension of our Simpson infant and toddler program located at 1321 S. Paulina.  This site provides early care and education to infant and toddlers of teen moms who attend The Simpson Academy for Young Women; the only CPS High School in Chicago for pregnant and parenting teens; as well as the surrounding community.</p>",1 N Ogden Ave,Chicago,IL,60607,(312) 492-6803,http://www.salvationarmy.org,3 years to 5 years,True,True,"Full Week, Full Day",,"Community Based, Head Start, Early Head Start",,Accepts CCAP,NAEYC,licensed,Licensed,41.881463,-87.666052,"{'latitude': '41.881463', 'longitude': '-87.666052'}",41.0,14917,29.0,63.0,46.0
50,121,1.0,427,Children's Center for Creative Learning - Western,<p>The Children's Center for Creative Learning is a dedicated to providing a nurturing and stimulating environment while catering to the development of the whole child.  We foster the love of learning and take pride in the foundation we create to produce life-long learners.</p>,7954-58 S Western Ave,Chicago,IL,60620,(773) 471-4927,http://www.childrenscenterchicago.com,6 weeks to 5 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,NAEYC,licensed,Licensed,41.748419,-87.683195,"{'latitude': '41.748419', 'longitude': '-87.683195'}",6.0,21554,69.0,243.0,30.0
539,122,1.0,429,The Children's Place Early Learning Center,"<p>The Chicago-area's only early learning program designed to address the needs of HIV-affected children, the Early Learning Center provides high-quality early learning to build a solid foundation for school.  Specialized early education is provided to infants, toddlers and preschool-age children affected by HIV/AIDS or other chronic conditions.  Assessments, screenings and therapies facilitate age-appropriate development; 90% of children who graduate the program enter kindergarten fully prepared to learn.  For many, The Children's Place offers their only opportunity to build a basic foundation for school.</p>",1800 N. Humboldt Blvd.,Chicago,IL,60647,(773) 395-9193,http://www.childrens-place.org,0 years to 5 years,True,True,"Full Week, Full Day",,"Offers Home Visiting, Community Based, Head Start, Early Head Start",,Accepts CCAP,COA,silver,Silver,41.91396,-87.702751,"{'latitude': '41.91396', 'longitude': '-87.702751'}",10.0,22535,23.0,386.0,41.0
541,123,1.0,430,The Learning Tree Preschool - NIA,"<p>It is our mission to assist children in gaining knowledge through play, socializing, conversing, questioning, creating, exploring, and respect for others.</p>",8128 S Kedzie Ave,Chicago,IL,60652,(773) 778-8802,http://learningtree.com,0 years to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.745261,-87.70266,"{'latitude': '41.745261', 'longitude': '-87.70266'}",6.0,4300,69.0,199.0,30.0
540,124,1.0,431,The Learning Tree Preschool - GIA,"<p>It is our mission is for our students to gain their knowledge through play, socializing, conversing, questioning, creating, exploring, and respect for others.</p>",8233 S Pulaski Rd,Chicago,IL,60652,(773) 884-3345,http://learningtree.com,0 years to 5 years,True,True,"Full Week, Part Week, Full Day, Half Day",,"Community Based, Head Start",,Accepts CCAP,,silver,Silver,41.742904,-87.721317,"{'latitude': '41.742904', 'longitude': '-87.721317'}",6.0,4300,69.0,199.0,30.0
596,125,1.0,433,Women's Treatment Center,<p>The Women's Treatment Center( TWTC) provides comprehensive substance abuse treatment to women with young children.  TWTC offers parenting skills training and childcare services to women and their families.  Our program serves about 900 women and 300 children each year. Our parenting staff are trained parent educators through the Parent As Teacher  (PAT) Organization.  Our childcare workers have advance training in early childhood education.  TWTC's parenting program also provides case management  services to families in need of assistance with accessing family community resources.</p>,140 N Ashland Ave,Chicago,IL,60607,(312) 850-0050,http://womenstreatmentcenter.org,0-3,True,False,"Full Week, Full Day",,"Offers Home Visiting, Community Based",,Accepts CCAP,JACHO,licensed,Licensed,41.884896,-87.667289,"{'latitude': '41.884896', 'longitude': '-87.667289'}",41.0,21184,29.0,579.0,46.0
548,126,1.0,434,Thomas Kelly High School,"<p>SGA Youth & Family Services' Early Advantage Program helps youth with children ages birth to three become their child's first and most important teacher. Teen parents gain valuable parenting skills and develop knowledge about child development, literacy promoting behaviors, and discipline techniques.  The program is voluntary and led by experienced and qualified staff. Services include: parent-child visits, developmental screenings, groups and special activities and linkages/referral to other community resources. SGA offers Early Advantage at 11 Chicago Public high schools: Juarez, Dunbar, Gage Park, Harlan, Lake View, Crane, Kelly, Tilden, Phillips, Wells, and Austin Polytechnical.</p>",4136 S California Ave,Chicago,IL,60632,(773) 535-4900,http://www.kellyhs.org,14-18,True,False,"Full Week, Full Day",,"Offers Home Visiting, Community Based",,,COA,licensed,Licensed,41.818206,-87.694693,"{'latitude': '41.818206', 'longitude': '-87.694693'}",49.0,22248,55.0,196.0,1.0
549,127,1.0,435,Tilden Career Community Academy High School,"<p>SGA Youth & Family Services' Early Advantage Program helps youth with children ages birth to three become their child's first and most important teacher. Teen parents gain valuable parenting skills and develop knowledge about child development, literacy promoting behaviors, and discipline techniques.  The program is voluntary and led by experienced and qualified staff. Services include: parent-child visits, developmental screenings, groups and special activities and linkages/referral to other community resources. SGA offers Early Advantage at 11 Chicago Public high schools: Juarez, Dunbar, Gage Park, Harlan, Lake View, Crane, Kelly, Tilden, Phillips, Wells, and Austin Polytechnical.</p>",4747 S Union Ave,Chicago,IL,60609,(773) 535-1625,http://www.tildencca.org,14-18,True,False,"Full Week, Full Day",,"Offers Home Visiting, Community Based",,,COA,licensed,Licensed,41.807664,-87.643,"{'latitude': '41.807664', 'longitude': '-87.643'}",26.0,14924,59.0,84.0,48.0
550,128,1.0,438,Trinity United Church of Christ - Deton Brooks,"<p>Trinity UCC will provide children and families with a holistic, fiscally sound child development experience offering an organic approach to excellent African -Centered education in a social service environment</p>",6921 S Stony Island Ave,Chicago,IL,60617,(773) 966-1596,http://www.tuccchildcarecenter.com,2 years to 5 years,True,True,"Full Week, Full Day",,"Community Based, Head Start",,Accepts CCAP,,licensed,Licensed,41.769112,-87.586232,"{'latitude': '41.769112', 'longitude': '-87.586232'}",32.0,22538,39.0,381.0,33.0
552,129,1.0,440,True To Life Foundation,"<p>""Pride in our programs & dedication to the community""</p><p>True To Life Foundation is a nonprofit community based organization that is committed to the administration and operation of youth and family programs that will empower Chicago communities. Our programs promote positive self awareness through crisis intervention, education and restoration. True To Life Foundation strives to provide and advocate for the safety, education and development of our inner city children.</p><p>Celebrate Life!</p>",1712 East 87th Street,Chicago,IL,60617,(773) 374-7046,http://www.truetolifefoundation.org,0-3,True,False,"Full Week, Full Day, Half Day",,"Offers Home Visiting, Community Based",,Accepts CCAP,,licensed,Licensed,41.737084,-87.581931,"{'latitude': '41.737084', 'longitude': '-87.581931'}",9.0,21202,41.0,431.0,35.0
